DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,15:54:33,37,860,1355.178797,21.89999962,37.09999847
23/04/2015,15:54:50,37.1,860,1355.083782,23.10000038,35.09999847
23/04/2015,15:54:56,37.1,860,1354.513715,23.10000038,34.59999847
,,,,,,
DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,16:23:40,44.3,860,1354.608724,24.29999924,34.40000153
23/04/2015,16:23:58,71.1,860,1355.748901,24.5,41.79999924
23/04/2015,16:24:09,44.4,860,1353.943681,24.5,45.5
23/04/2015,16:24:25,44.4,860,1354.988769,24.60000038,50.5
23/04/2015,16:24:31,44.5,860,1353.753676,24.70000076,41.90000153
23/04/2015,16:24:47,44.5,860,1355.368828,24.60000038,38
23/04/2015,16:24:53,44.6,860,1355.368828,24.70000076,32.5
23/04/2015,16:25:18,44.7,860,1354.703734,24.70000076,32.29999924
23/04/2015,16:25:23,44.7,860,1354.893756,24.70000076,31.79999924
23/04/2015,16:25:48,44.8,860,1354.893756,24.70000076,31.60000038
23/04/2015,16:25:53,44.8,860,1355.178797,24.70000076,31.5
23/04/2015,16:26:12,44.9,860,1355.368828,24.60000038,31.39999962
23/04/2015,16:26:17,44.9,860,1354.988769,24.60000038,31.39999962
23/04/2015,16:26:34,45,860,1354.513715,24.60000038,31.20000076
23/04/2015,16:26:56,45.1,860,1355.938943,24.79999924,31.29999924
23/04/2015,16:27:15,45.2,860,1354.3237,24.60000038,31
23/04/2015,16:27:21,45.2,860,1354.893756,24.70000076,31.10000038
23/04/2015,16:27:37,45.3,860,1354.703734,24.60000038,31
23/04/2015,16:27:43,45.3,860,1354.3237,24.70000076,31.79999924
23/04/2015,16:28:07,45.4,860,1354.038684,24.60000038,32.09999847
23/04/2015,16:28:23,45.4,860,1355.083782,24.60000038,32.90000153
23/04/2015,16:28:39,45.3,860,1355.178797,24.60000038,33.29999924
23/04/2015,16:28:45,45.4,860,1355.273812,24.70000076,32
23/04/2015,16:29:02,45.4,860,1355.368828,24.70000076,31.79999924
23/04/2015,16:29:08,45.4,860,1355.273812,24.79999924,32.79999924
23/04/2015,16:29:24,45.5,860,1354.418707,24.79999924,32
23/04/2015,16:29:30,45.5,860,1354.418707,24.79999924,31.10000038
23/04/2015,16:29:46,45.5,860,1355.083782,24.89999962,32.59999847
23/04/2015,16:29:51,45.5,860,1355.083782,24.89999962,31.70000076
23/04/2015,16:30:29,45.7,860,1354.893756,24.89999962,31.29999924
23/04/2015,16:30:35,45.7,860,1355.083782,24.89999962,31.39999962
23/04/2015,16:30:54,45.7,860,1354.988769,24.89999962,31.60000038
23/04/2015,16:30:59,45.7,860,1354.513715,24.89999962,31.89999962
23/04/2015,16:31:16,45.8,860,1354.228694,24.89999962,31.70000076
23/04/2015,16:31:21,45.8,860,1355.273812,24.89999962,32.20000076
23/04/2015,16:31:40,45.9,860,1355.653882,24.89999962,32
23/04/2015,16:31:45,45.9,860,1355.178797,24.89999962,31.79999924
23/04/2015,16:32:02,45.9,860,1355.748901,24.89999962,31.79999924
23/04/2015,16:32:07,45.9,860,1355.748901,24.89999962,31.5
23/04/2015,16:32:35,46,860,1355.938943,24.89999962,31.5
23/04/2015,16:32:41,46,860,1356.319038,24.89999962,31.5
23/04/2015,16:32:57,46.1,860,1356.224013,24.89999962,31.5
23/04/2015,16:33:03,46.1,860,1355.178797,24.89999962,31.29999924
23/04/2015,16:33:19,46.1,860,1354.703734,24.89999962,31.29999924
23/04/2015,16:33:38,46.2,860,1355.368828,24.89999962,31.39999962
23/04/2015,16:33:55,46.2,860,1355.558863,24.89999962,31.5
23/04/2015,16:34:00,46.2,860,1356.128989,24.89999962,31.79999924
23/04/2015,16:34:17,46.3,860,1355.368828,24.89999962,31.89999962
23/04/2015,16:34:22,46.3,860,1355.748901,24.89999962,31.89999962
23/04/2015,16:34:46,46.4,860,1356.128989,24.89999962,31.89999962
23/04/2015,16:34:52,46.4,860,1355.463845,24.89999962,31.79999924
23/04/2015,16:35:11,46.4,860,1355.748901,24.89999962,31.70000076
23/04/2015,16:35:16,46.4,860,1355.938943,24.89999962,31.79999924
23/04/2015,16:35:33,46.5,860,1355.938943,24.89999962,32
23/04/2015,16:35:39,46.5,860,1356.128989,24.89999962,32.20000076
23/04/2015,16:35:57,46.6,860,1354.988769,25,32.09999847
23/04/2015,16:36:03,46.6,860,1355.748901,25,31.70000076
23/04/2015,16:36:19,46.6,860,1355.558863,25,31.60000038
23/04/2015,16:36:25,46.6,860,1355.748901,25,31.70000076
23/04/2015,16:37:05,46.7,860,1356.128989,25,31.60000038
23/04/2015,16:37:11,46.8,860,1356.319038,25,31.39999962
23/04/2015,16:37:28,46.8,860,1356.319038,25,31.5
23/04/2015,16:37:36,46.8,860,1355.938943,25,31.20000076
23/04/2015,16:37:55,46.9,860,1356.128989,25,31.20000076
23/04/2015,16:38:01,46.9,860,1356.128989,25,30.89999962
23/04/2015,16:38:17,46.9,860,1357.07927,25,30.79999924
23/04/2015,16:38:23,46.9,860,1356.604118,25,30.60000038
23/04/2015,16:38:39,47,860,1356.414064,25,21
23/04/2015,16:38:45,47,860,1356.509091,25,30.70000076
23/04/2015,16:39:09,47.1,860,1356.224013,25,30.70000076
23/04/2015,16:39:15,47.1,860,1355.938943,25,30.70000076
23/04/2015,16:39:32,47.1,860,1355.653882,25,30.89999962
23/04/2015,16:39:37,47.1,860,1356.509091,25,31.10000038
23/04/2015,16:39:54,47.2,860,1355.843922,25,31.29999924
23/04/2015,16:40:13,47.2,860,1355.938943,25,31.10000038
23/04/2015,16:40:29,47.3,860,1356.414064,25.10000038,31.60000038
23/04/2015,16:40:35,47.3,860,1356.984238,25.10000038,31.89999962
23/04/2015,16:40:51,47.4,860,1356.319038,25.10000038,31.70000076
23/04/2015,16:40:59,47.4,860,1356.509091,25.10000038,31.60000038
23/04/2015,16:41:24,47.4,860,1356.604118,25.10000038,32.29999924
23/04/2015,16:41:29,47.5,860,1356.509091,25.20000076,31.5
23/04/2015,16:41:46,47.5,860,1355.843922,25.20000076,31.5
23/04/2015,16:41:52,47.5,860,1356.509091,25.20000076,31.29999924
23/04/2015,16:42:09,47.6,860,1356.224013,25.20000076,31.29999924
23/04/2015,16:42:14,47.6,860,1357.269337,25.20000076,31.20000076
23/04/2015,16:42:31,47.6,860,1357.07927,25.20000076,31.20000076
23/04/2015,16:42:36,47.6,860,1357.07927,25.20000076,31.10000038
23/04/2015,16:42:53,47.7,860,1356.509091,25.20000076,31.10000038
23/04/2015,16:42:59,47.7,860,1356.699147,25.20000076,31.10000038
23/04/2015,16:43:37,47.8,860,1356.224013,25.20000076,31.70000076
23/04/2015,16:43:42,47.8,860,1356.699147,25.20000076,31
23/04/2015,16:44:01,47.9,860,1357.459408,25.20000076,30.89999962
23/04/2015,16:44:07,47.9,860,1356.794176,25.20000076,31.10000038
23/04/2015,16:44:24,47.9,860,1357.07927,25.20000076,31.20000076
23/04/2015,16:44:34,48,860,1357.07927,25.20000076,31.10000038
23/04/2015,16:44:53,48,860,1356.604118,25.20000076,30.70000076
23/04/2015,16:45:01,48,860,1356.699147,25.20000076,31
23/04/2015,16:45:23,48.1,860,1356.414064,25.20000076,31.10000038
23/04/2015,16:45:29,48.1,860,1357.07927,25.20000076,30.79999924
23/04/2015,16:45:58,48.2,860,1357.269337,25.29999924,30.70000076
23/04/2015,16:46:04,48.2,860,1357.74452,25.29999924,22.29999924
23/04/2015,16:46:21,48.2,860,1357.364372,25.29999924,30.89999962
23/04/2015,16:46:34,48.2,860,1357.649482,25.29999924,31.20000076
23/04/2015,16:46:53,48.3,860,1356.984238,25.29999924,30.89999962
23/04/2015,16:47:12,48.3,860,1357.459408,25.29999924,28.60000038
23/04/2015,16:47:29,48.3,860,1357.74452,23.10000038,90.69999695
23/04/2015,16:47:44,48.4,860,1356.794176,22,95.90000153
23/04/2015,16:48:01,48.4,860,1356.604118,20.60000038,94
23/04/2015,16:48:06,48.4,860,1355.653882,17.70000076,56.70000076
23/04/2015,16:48:31,48.6,860,1355.938943,17.5,41
23/04/2015,16:48:36,48.6,860,1355.938943,17.89999962,31.20000076
23/04/2015,16:48:57,48.6,860,1354.988769,17.5,31.5
23/04/2015,16:49:05,48.6,860,1354.798745,17.39999962,31.5
23/04/2015,16:49:22,48.7,860,1354.988769,17.70000076,31.60000038
23/04/2015,16:49:27,48.7,860,1354.3237,18.20000076,30.89999962
23/04/2015,16:49:46,48.7,860,1354.228694,18.10000038,30.79999924
23/04/2015,16:49:52,48.7,860,1354.513715,18,30.79999924
23/04/2015,16:50:11,48.8,860,1354.608724,17.89999962,30.70000076
23/04/2015,16:50:18,48.8,860,1354.418707,16.5,31.89999962
23/04/2015,16:50:56,48.9,860,1353.848678,16.39999962,32.79999924
23/04/2015,16:51:01,48.9,860,1353.848678,15.60000038,34.20000076
23/04/2015,16:51:18,49,860,1354.3237,15.5,34.20000076
23/04/2015,16:51:24,49,860,1354.228694,15.10000038,34.40000153
23/04/2015,16:51:40,49,860,1354.798745,15,34.5
23/04/2015,16:51:46,49,860,1354.798745,14.89999962,34.40000153
23/04/2015,16:52:03,49,860,1355.083782,14.69999981,34.29999924
23/04/2015,16:52:08,49,860,1355.273812,14.60000038,34.40000153
23/04/2015,16:52:25,49.1,860,1353.943681,14.60000038,34.5
23/04/2015,16:52:30,49.1,860,1354.418707,14.30000019,35
23/04/2015,16:52:55,49.2,860,1354.228694,14.39999962,35.20000076
23/04/2015,16:53:00,49.1,860,1355.273812,14.5,35.20000076
23/04/2015,16:53:17,49.2,860,1354.893756,14.10000038,35
23/04/2015,16:53:23,49.1,860,1354.893756,14.19999981,35.90000153
23/04/2015,16:53:41,49.2,860,1355.558863,14.30000019,36
23/04/2015,16:54:01,49.2,860,1354.228694,15,35.5
23/04/2015,16:54:17,49.2,860,1354.513715,15.30000019,34.79999924
23/04/2015,16:54:23,49.2,860,1354.418707,15.39999962,34.59999847
23/04/2015,16:54:39,49.1,860,1355.748901,15.39999962,34.59999847
23/04/2015,16:54:45,49.1,860,1354.418707,15.30000019,34.79999924
23/04/2015,16:55:09,49,860,1353.278681,15.19999981,34.70000076
23/04/2015,16:55:15,49,860,1354.608724,14.60000038,35
23/04/2015,16:55:32,48.9,860,1354.608724,14.60000038,35
23/04/2015,16:55:37,48.9,860,1354.703734,14.80000019,37.09999847
23/04/2015,16:55:54,49,860,1354.418707,14.69999981,38.29999924
23/04/2015,16:56:00,49,860,1354.038684,14.60000038,37.29999924
23/04/2015,16:56:16,49,860,1352.803708,14.89999962,38.29999924
23/04/2015,16:56:22,49,860,1353.088689,15.39999962,38.20000076
23/04/2015,16:56:41,49,860,1353.373678,15.39999962,37.90000153
23/04/2015,16:56:46,49,860,1352.993694,15.39999962,37.70000076
23/04/2015,16:57:33,49.1,860,1353.088689,15.30000019,38.40000153
23/04/2015,16:57:38,49.1,860,1353.468676,14.19999981,37.90000153
23/04/2015,16:57:54,49.1,860,1354.228694,14.30000019,38.5
23/04/2015,16:58:00,49.1,860,1353.373678,14.30000019,38.20000076
23/04/2015,16:58:21,49.1,860,1352.328757,15,39.20000076
23/04/2015,16:58:30,49.1,860,1352.8987,14.80000019,39.09999847
23/04/2015,16:58:46,49.1,860,1353.468676,14.80000019,39.40000153
23/04/2015,16:58:51,49.1,860,1353.183684,15.19999981,39.5
23/04/2015,16:59:08,49.1,860,1353.658675,14.19999981,35.70000076
23/04/2015,16:59:18,49.1,860,1353.563675,13.60000038,35.5
23/04/2015,16:59:45,49.1,860,1353.943681,13.80000019,35.40000153
23/04/2015,16:59:53,49.1,860,1353.468676,13.80000019,35.5
23/04/2015,17:00:10,49,860,1353.088689,14,35.5
23/04/2015,17:00:15,49,860,1353.753676,14,36
23/04/2015,17:00:32,49,860,1352.233769,14.10000038,35.59999847
23/04/2015,17:00:51,49,860,1353.658675,14.10000038,35.5
23/04/2015,17:01:10,49,860,1352.613724,14.39999962,35.90000153
23/04/2015,17:01:18,49,860,1353.373678,14.10000038,36.09999847
23/04/2015,17:01:41,49,860,1353.468676,14,36
23/04/2015,17:01:46,49,860,1352.708716,14.10000038,36
23/04/2015,17:02:10,49.1,860,1353.753676,13.80000019,37
23/04/2015,17:02:18,49,860,1353.563675,14.10000038,37.40000153
23/04/2015,17:02:37,49,860,1352.993694,14.10000038,37.79999924
23/04/2015,17:02:43,49,860,1353.943681,14.39999962,37.09999847
23/04/2015,17:02:59,49.1,860,1352.423745,14.5,36.09999847
23/04/2015,17:03:07,49,860,1352.233769,14.5,36
23/04/2015,17:03:24,49.1,860,1353.563675,14.5,36.20000076
23/04/2015,17:03:29,49,860,1353.278681,14.30000019,36.40000153
23/04/2015,17:03:46,49.1,860,1352.993694,14.39999962,36.40000153
23/04/2015,17:03:51,49.1,860,1353.278681,14.60000038,38.09999847
23/04/2015,17:04:29,49.1,860,1353.088689,14.69999981,38
23/04/2015,17:04:35,49.1,861,1353.088689,14.69999981,37.09999847
23/04/2015,17:04:52,49.1,860,1353.278681,14.69999981,36.29999924
23/04/2015,17:04:58,49.1,860,1353.753676,14.89999962,36.09999847
23/04/2015,17:05:20,49.1,860,1353.753676,14.89999962,36.20000076
23/04/2015,17:05:25,49.1,860,1353.373678,15.10000038,35.79999924
23/04/2015,17:05:42,49.1,860,1353.088689,15.19999981,35.29999924
23/04/2015,17:05:47,49.1,860,1354.133689,14.80000019,34.09999847
23/04/2015,17:06:06,49.2,860,1353.373678,14.69999981,34
23/04/2015,17:06:12,49.2,860,1353.183684,14.80000019,34.5
23/04/2015,17:06:39,49.2,860,1353.468676,14.80000019,34.40000153
23/04/2015,17:06:44,49.2,860,1353.753676,14.60000038,35.40000153
23/04/2015,17:07:01,49.2,860,1352.803708,14.5,35.5
23/04/2015,17:07:06,49.2,860,1354.3237,14.60000038,36.5
23/04/2015,17:07:23,49.2,860,1353.563675,14.19999981,36
23/04/2015,17:07:42,49.2,860,1353.563675,14.80000019,36.29999924
23/04/2015,17:07:58,49.3,860,1353.848678,14.69999981,34.40000153
23/04/2015,17:08:06,49.3,860,1353.563675,15.19999981,34.59999847
23/04/2015,17:08:30,49.3,860,1352.8987,15.19999981,34.59999847
23/04/2015,17:08:36,49.3,860,1353.658675,15.5,33.90000153
23/04/2015,17:09:00,49.3,860,1353.278681,15.60000038,34
23/04/2015,17:09:06,49.3,860,1353.658675,15.60000038,35
23/04/2015,17:09:26,49.3,860,1354.988769,15.60000038,34.79999924
23/04/2015,17:09:31,49.3,860,1354.608724,15.69999981,34.79999924
23/04/2015,17:09:48,49.3,860,1353.943681,15.69999981,34.70000076
23/04/2015,17:09:53,49.3,860,1353.943681,15.80000019,34.70000076
23/04/2015,17:10:17,49.4,860,1353.373678,15.80000019,34.59999847
23/04/2015,17:10:23,49.4,860,1353.373678,16.10000038,34.90000153
23/04/2015,17:10:41,49.4,860,1353.563675,16.10000038,34.70000076
23/04/2015,17:10:47,49.4,860,1353.088689,16.39999962,35.40000153
23/04/2015,17:11:27,49.4,860,1353.468676,16.39999962,35.70000076
23/04/2015,17:11:33,49.4,860,1352.803708,16.79999924,32.90000153
23/04/2015,17:11:50,49.4,860,1354.133689,16.79999924,33.40000153
23/04/2015,17:11:58,49.4,860,1353.848678,17,33.5
23/04/2015,17:12:17,49.5,860,1354.513715,16.70000076,31.89999962
23/04/2015,17:12:25,49.5,860,1354.133689,16.5,31.79999924
23/04/2015,17:12:41,49.5,860,1354.3237,16.70000076,31.5
23/04/2015,17:12:47,49.5,860,1354.038684,16.29999924,32
23/04/2015,17:13:03,49.5,860,1353.278681,16.5,32
23/04/2015,17:13:16,49.5,860,1353.848678,16.60000038,31.79999924
23/04/2015,17:13:41,49.6,860,1353.563675,16.70000076,32.40000153
23/04/2015,17:13:46,49.6,860,1354.3237,16.5,33
23/04/2015,17:14:03,49.6,860,1354.418707,16.10000038,32.70000076
23/04/2015,17:14:08,49.6,860,1353.278681,16.60000038,31.70000076
23/04/2015,17:14:25,49.6,860,1354.228694,17,32.70000076
23/04/2015,17:14:46,49.6,860,1354.988769,17,31.10000038
23/04/2015,17:15:09,49.6,860,1353.943681,16.79999924,31.10000038
23/04/2015,17:15:14,49.6,860,1353.943681,17.29999924,31.29999924
23/04/2015,17:15:33,49.7,860,1354.3237,17.29999924,31.10000038
23/04/2015,17:15:39,49.7,860,1353.468676,17.39999962,31.39999962
23/04/2015,17:16:03,49.7,860,1353.468676,17.39999962,31.29999924
23/04/2015,17:16:09,49.7,860,1353.848678,17.70000076,31.10000038
23/04/2015,17:16:28,49.7,860,1354.038684,17.70000076,31.10000038
23/04/2015,17:16:33,49.7,860,1354.228694,17.79999924,30.89999962
23/04/2015,17:16:57,49.8,860,1353.183684,17.70000076,30.70000076
23/04/2015,17:17:03,49.7,860,1353.563675,17.39999962,31.60000038
23/04/2015,17:17:22,49.8,860,1354.418707,17.39999962,31.70000076
23/04/2015,17:17:27,49.8,860,1354.038684,17.10000038,28.29999924
23/04/2015,17:17:46,49.8,860,1353.943681,16.29999924,30.60000038
23/04/2015,17:17:54,49.8,860,1354.133689,16.20000076,30.89999962
23/04/2015,17:18:32,49.9,860,1353.183684,16.10000038,34
23/04/2015,17:18:43,49.9,860,1354.133689,15.80000019,33.79999924
23/04/2015,17:18:59,49.9,860,1353.943681,15.5,32.90000153
23/04/2015,17:19:07,49.9,860,1354.418707,15.39999962,33
23/04/2015,17:19:24,50,860,1353.468676,14.80000019,33.5
23/04/2015,17:19:34,50,860,1354.513715,15.10000038,34.59999847
23/04/2015,17:19:53,50,860,1354.228694,15,34.40000153
23/04/2015,17:19:59,50,860,1354.513715,15.10000038,34.79999924
23/04/2015,17:20:15,50,860,1354.3237,15.10000038,34.59999847
23/04/2015,17:20:21,50,860,1354.3237,15.19999981,33.79999924
23/04/2015,17:20:45,50.1,860,1353.943681,15.19999981,33.59999847
23/04/2015,17:20:51,50,860,1353.373678,15,33.29999924
23/04/2015,17:21:07,50.1,860,1354.038684,15.10000038,33.29999924
23/04/2015,17:21:13,50.1,860,1354.513715,14.80000019,34.09999847
23/04/2015,17:21:32,50.1,860,1355.938943,14.69999981,34.59999847
23/04/2015,17:21:51,50.2,857,1385.534078,15,34
23/04/2015,17:22:07,50.2,851,1443.356468,14.10000038,33
23/04/2015,17:22:13,50.2,848,1469.365009,12.5,34.20000076
23/04/2015,17:22:33,50.1,838,1569.416552,12.10000038,34.5
23/04/2015,17:22:41,50.1,834,1608.411908,11.69999981,34.20000076
23/04/2015,17:23:05,50.1,823,1715.870804,11.30000019,33.79999924
23/04/2015,17:23:11,50,820,1741.015771,10.30000019,42
23/04/2015,17:23:30,50,812,1825.789546,10.19999981,47.40000153
23/04/2015,17:23:35,50,809,1852.211106,10.5,99.90000153
23/04/2015,17:23:54,49.9,800,1943.276589,10.5,99.90000153
23/04/2015,17:24:00,49.9,797,1972.234428,10,99.90000153
23/04/2015,17:24:16,49.7,789,2054.827152,9.300000191,99.90000153
23/04/2015,17:24:24,49.7,785,2095.666148,9.100000381,99.90000153
23/04/2015,17:24:41,49.6,776,2184.146569,9.100000381,99.90000153
23/04/2015,17:24:47,49.4,773,2217.026562,8.5,99.90000153
23/04/2015,17:25:27,49.1,754,2417.799562,8.300000191,99.90000153
23/04/2015,17:25:33,49,752,2443.623102,7.400000095,99.90000153
23/04/2015,17:25:49,48.9,745,2512.214274,6.699999809,30.70000076
23/04/2015,17:25:57,48.8,742,2543.852692,6.599999905,32.70000076
23/04/2015,17:26:14,48.7,736,2613.365339,6.5,35.90000153
23/04/2015,17:26:19,48.6,734,2634.304759,6,45.20000076
23/04/2015,17:26:36,48.5,728,2697.284163,5.800000191,47.5
23/04/2015,17:26:41,48.4,726,2717.532177,5.199999809,52.40000153
23/04/2015,17:26:58,48.3,720,2781.599877,5,54.20000076
23/04/2015,17:27:03,48.3,718,2806.751212,4.099999905,58
23/04/2015,17:27:28,48,709,2902.566803,3.5,60.70000076
23/04/2015,17:27:36,47.9,707,2931.039531,3.400000095,60.79999924
23/04/2015,17:27:52,47.8,701,2991.710144,3,61
23/04/2015,17:27:58,47.7,699,3016.399463,3,62.40000153
23/04/2015,17:28:14,47.4,692,3091.639153,2.799999952,63.20000076
23/04/2015,17:28:33,47.2,686,3169.407947,2.200000048,66
23/04/2015,17:28:50,47.1,679,3241.364407,0.800000012,73
23/04/2015,17:29:03,46.9,675,3294.876196,0.600000024,73
23/04/2015,17:29:19,46.8,669,3357.645438,0.5,74
23/04/2015,17:29:24,46.8,667,3379.554158,0.100000001,75.40000153
23/04/2015,17:29:50,46.5,659,3476.054857,-0.400000006,75.40000153
